neuron_id,ensemble,sig,ensemble_orig,session_name,block,bin_width,ensemble_id
1031,-1,False,0,hamilton_04,pre,0.05,-1
1031,-1,False,0,hamilton_04,pre,0.05,-1
1031,-1,False,0,hamilton_04,pre,0.05,-1
1031,-1,False,0,hamilton_04,pre,0.05,-1
1031,-1,False,0,hamilton_04,pre,0.05,-1
1035,-1,False,0,hamilton_04,pre,0.05,-1
1035,-1,False,0,hamilton_04,pre,0.05,-1
1035,-1,False,0,hamilton_04,pre,0.05,-1
1035,-1,False,0,hamilton_04,pre,0.05,-1
1035,-1,False,0,hamilton_04,pre,0.05,-1
1036,-1,False,0,hamilton_04,pre,0.05,-1
1036,-1,False,0,hamilton_04,pre,0.05,-1
1036,-1,False,0,hamilton_04,pre,0.05,-1
1036,-1,False,0,hamilton_04,pre,0.05,-1
1036,-1,False,0,hamilton_04,pre,0.05,-1
1040,-1,False,0,hamilton_04,pre,0.05,-1
1040,-1,False,0,hamilton_04,pre,0.05,-1
1040,-1,False,0,hamilton_04,pre,0.05,-1
1040,-1,False,0,hamilton_04,pre,0.05,-1
1040,-1,False,0,hamilton_04,pre,0.05,-1
1045,-1,False,0,hamilton_04,pre,0.05,-1
1045,-1,False,0,hamilton_04,pre,0.05,-1
1045,-1,False,0,hamilton_04,pre,0.05,-1
1045,-1,False,0,hamilton_04,pre,0.05,-1
1045,-1,False,0,hamilton_04,pre,0.05,-1
1047,-1,False,0,hamilton_04,pre,0.05,-1
1047,-1,False,0,hamilton_04,pre,0.05,-1
1047,-1,False,0,hamilton_04,pre,0.05,-1
1047,-1,False,0,hamilton_04,pre,0.05,-1
1047,-1,False,0,hamilton_04,pre,0.05,-1
1048,-1,False,0,hamilton_04,pre,0.05,-1
1048,-1,False,0,hamilton_04,pre,0.05,-1
1048,-1,False,0,hamilton_04,pre,0.05,-1
1048,-1,False,0,hamilton_04,pre,0.05,-1
1048,-1,False,0,hamilton_04,pre,0.05,-1
1032,-1,False,1,hamilton_04,pre,0.05,-1
1032,-1,False,1,hamilton_04,pre,0.05,-1
1032,-1,False,1,hamilton_04,pre,0.05,-1
1032,-1,False,1,hamilton_04,pre,0.05,-1
1032,-1,False,1,hamilton_04,pre,0.05,-1
1041,-1,False,1,hamilton_04,pre,0.05,-1
1041,-1,False,1,hamilton_04,pre,0.05,-1
1041,-1,False,1,hamilton_04,pre,0.05,-1
1041,-1,False,1,hamilton_04,pre,0.05,-1
1041,-1,False,1,hamilton_04,pre,0.05,-1
1034,-1,False,2,hamilton_04,pre,0.05,-1
1034,-1,False,2,hamilton_04,pre,0.05,-1
1034,-1,False,2,hamilton_04,pre,0.05,-1
1034,-1,False,2,hamilton_04,pre,0.05,-1
1034,-1,False,2,hamilton_04,pre,0.05,-1
1046,-1,False,2,hamilton_04,pre,0.05,-1
1046,-1,False,2,hamilton_04,pre,0.05,-1
1046,-1,False,2,hamilton_04,pre,0.05,-1
1046,-1,False,2,hamilton_04,pre,0.05,-1
1046,-1,False,2,hamilton_04,pre,0.05,-1
1044,-1,False,3,hamilton_04,pre,0.05,-1
1044,-1,False,3,hamilton_04,pre,0.05,-1
1044,-1,False,3,hamilton_04,pre,0.05,-1
1044,-1,False,3,hamilton_04,pre,0.05,-1
1044,-1,False,3,hamilton_04,pre,0.05,-1
1037,-1,False,4,hamilton_04,pre,0.05,-1
1037,-1,False,4,hamilton_04,pre,0.05,-1
1037,-1,False,4,hamilton_04,pre,0.05,-1
1037,-1,False,4,hamilton_04,pre,0.05,-1
1037,-1,False,4,hamilton_04,pre,0.05,-1
1038,-1,False,4,hamilton_04,pre,0.05,-1
1038,-1,False,4,hamilton_04,pre,0.05,-1
1038,-1,False,4,hamilton_04,pre,0.05,-1
1038,-1,False,4,hamilton_04,pre,0.05,-1
1038,-1,False,4,hamilton_04,pre,0.05,-1
1049,-1,False,4,hamilton_04,pre,0.05,-1
1049,-1,False,4,hamilton_04,pre,0.05,-1
1049,-1,False,4,hamilton_04,pre,0.05,-1
1049,-1,False,4,hamilton_04,pre,0.05,-1
1049,-1,False,4,hamilton_04,pre,0.05,-1
1050,-1,False,4,hamilton_04,pre,0.05,-1
1050,-1,False,4,hamilton_04,pre,0.05,-1
1050,-1,False,4,hamilton_04,pre,0.05,-1
1050,-1,False,4,hamilton_04,pre,0.05,-1
1050,-1,False,4,hamilton_04,pre,0.05,-1
